FileName,Sample,Site,Group,IndivNames,Indiv,Type,Gland,Sex,Age,Repro,Peak,RT,Purity,Amount,Area
TZ_O1flk,TZ04,Captive,GroupA,TZ_O1,Fem2,Body,Body,Female,Adult,Reproductive,P02,3.1433,91%,1.32%,5742803832
TZ_O2flk,TZ06,Captive,GroupA,TZ_O2,Male2,Body,Body,Male,Adult,Reproductive,P02,3.1419,93%,2.30%,9814574802
TZ_J1flk,TZ01,Captive,GroupA,TZ_J1,Fem1,Body,Body,Female,Juvenile,Non-reproductive,P04,4.6797,83%,0.26%,1096672423
TZ_J1flk,TZ01,Captive,GroupA,TZ_J1,Fem1,Body,Body,Female,Juvenile,Non-reproductive,P07,7.6001,62%,0.13%,521967338
TZ_O1flk,TZ04,Captive,GroupA,TZ_O1,Fem2,Body,Body,Female,Adult,Reproductive,P07,7.5241,89%,0.66%,2937147892
TZ_O2flk,TZ06,Captive,GroupA,TZ_O2,Male2,Body,Body,Male,Adult,Reproductive,P07,7.5032,93%,1.19%,5084294895
TZ_O2flk,TZ06,Captive,GroupA,TZ_O2,Male2,Body,Body,Male,Adult,Reproductive,P11,10.6471,66%,0.13%,515834775
TZ_O2flk,TZ06,Captive,GroupA,TZ_O2,Male2,Body,Body,Male,Adult,Reproductive,P13,11.1464,71%,0.16%,671355826
TZ_J1flk,TZ01,Captive,GroupA,TZ_J1,Fem1,Body,Body,Female,Juvenile,Non-reproductive,P17,12.0331,84%,0.82%,3335300370
TZ_O1flk,TZ04,Captive,GroupA,TZ_O1,Fem2,Body,Body,Female,Adult,Reproductive,P17,12.0295,85%,1.21%,5433283748
TZ_O2flk,TZ06,Captive,GroupA,TZ_O2,Male2,Body,Body,Male,Adult,Reproductive,P17,12.0238,84%,1.31%,5614977498
TZ_O1flk,TZ04,Captive,GroupA,TZ_O1,Fem2,Body,Body,Female,Adult,Reproductive,P21,13.2188,63%,0.11%,478602907
TZ_O2flk,TZ06,Captive,GroupA,TZ_O2,Male2,Body,Body,Male,Adult,Reproductive,P21,13.2228,69%,0.23%,1001637382
TZ_O1flk,TZ04,Captive,GroupA,TZ_O1,Fem2,Body,Body,Female,Adult,Reproductive,P25,14.3946,84%,0.16%,760203833
TZ_O2flk,TZ06,Captive,GroupA,TZ_O2,Male2,Body,Body,Male,Adult,Reproductive,P25,14.3846,84%,0.33%,1390459493
TZ_O1flk,TZ04,Captive,GroupA,TZ_O1,Fem2,Body,Body,Female,Adult,Reproductive,P34,15.2149,74%,0.14%,627674927
TZ_O2flk,TZ06,Captive,GroupA,TZ_O2,Male2,Body,Body,Male,Adult,Reproductive,P34,15.2181,82%,0.21%,883712589
TZ_O1flk,TZ04,Captive,GroupA,TZ_O1,Fem2,Body,Body,Female,Adult,Reproductive,P47,19.0969,91%,1.25%,5608489916
TZ_O2flk,TZ06,Captive,GroupA,TZ_O2,Male2,Body,Body,Male,Adult,Reproductive,P47,19.093,94%,1.85%,7815334064
TZ_J1flk,TZ01,Captive,GroupA,TZ_J1,Fem1,Body,Body,Female,Juvenile,Non-reproductive,P52,21.3563,61%,0.47%,1881239616
TZ_O1flk,TZ04,Captive,GroupA,TZ_O1,Fem2,Body,Body,Female,Adult,Reproductive,P52,21.3543,81%,0.94%,4194778372
TZ_O2flk,TZ06,Captive,GroupA,TZ_O2,Male2,Body,Body,Male,Adult,Reproductive,P52,21.3491,75%,0.56%,2408473958
TZ_O1flk,TZ04,Captive,GroupA,TZ_O1,Fem2,Body,Body,Female,Adult,Reproductive,P58,22.2297,61%,0.12%,460457845
TZ_O1flk,TZ04,Captive,GroupA,TZ_O1,Fem2,Body,Body,Female,Adult,Reproductive,P59,23.1845,67%,0.14%,478742580
WI3_MI4_LPGc,WI15,Wild,Group1,MI4_LPG,Grp1_Fem1,Body,Body,Female,Subadult,Non-reproductive,P01,3.0272,39%,0.27%,31464815
WI1_MI4_LPLc,WI02,Wild,Group1,MI4_LPL,Grp1_Fem2,Body,Body,Female,Adult,Reproductive,P01,3.0029,64%,0.78%,66846779
WI1_MI4_LPRc,WI03,Wild,Group1,MI4_LPR,Grp1_Fem3,Body,Body,Female,Adult,Reproductive,P01,3.0318,56%,0.39%,26143958
WI3_MI4_LRCc,WI17,Wild,Group1,MI4_LRC,Grp1_Fem4,Body,Body,Female,Adult,Reproductive,P01,3.0301,26%,0.16%,28077938
WI1_MI4_LBYc,WI01,Wild,Group1,MI4_LBY,Grp1_Male1,Body,Body,Male,Adult,Reproductive,P01,3.0138,91%,0.70%,62246718
WI1_T8_BlPYc,WI06,Wild,Group2,T8_BlPY,Grp2_Fem1,Body,Body,Female,Adult,Reproductive,P01,3.0092,90%,1.06%,70648185
WI1_T8_BlBRc,WI05,Wild,Group2,T8_BlBR,Grp2_Male1,Body,Body,Male,Adult,Reproductive,P01,3.0216,72%,0.53%,42722600
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P01,3.0095,92%,1.00%,65376507
WI3_MI4_LPGc,WI15,Wild,Group1,MI4_LPG,Grp1_Fem1,Body,Body,Female,Subadult,Non-reproductive,P05,6.1735,82%,0.16%,19416906
WI1_MI4_LPRc,WI03,Wild,Group1,MI4_LPR,Grp1_Fem3,Body,Body,Female,Adult,Reproductive,P05,6.2088,83%,0.25%,16616417
WI1_T8_BlPYc,WI06,Wild,Group2,T8_BlPY,Grp2_Fem1,Body,Body,Female,Adult,Reproductive,P05,6.1339,82%,0.16%,10357909
WI3_MI4_LPGc,WI15,Wild,Group1,MI4_LPG,Grp1_Fem1,Body,Body,Female,Subadult,Non-reproductive,P07,7.582,90%,0.14%,19516359
WI1_MI4_LPLc,WI02,Wild,Group1,MI4_LPL,Grp1_Fem2,Body,Body,Female,Adult,Reproductive,P07,7.558,94%,0.30%,26003150
WI1_MI4_LPRc,WI03,Wild,Group1,MI4_LPR,Grp1_Fem3,Body,Body,Female,Adult,Reproductive,P07,7.6032,90%,0.12%,8017887
WI3_MI4_LRCc,WI17,Wild,Group1,MI4_LRC,Grp1_Fem4,Body,Body,Female,Adult,Reproductive,P07,7.7546,94%,0.15%,26703604
WI1_MI4_LBYc,WI01,Wild,Group1,MI4_LBY,Grp1_Male1,Body,Body,Male,Adult,Reproductive,P07,7.9413,87%,0.15%,13376589
WI1_T8_BlPYc,WI06,Wild,Group2,T8_BlPY,Grp2_Fem1,Body,Body,Female,Adult,Reproductive,P07,7.5201,96%,1.02%,67805010
WI1_T8_BlBRc,WI05,Wild,Group2,T8_BlBR,Grp2_Male1,Body,Body,Male,Adult,Reproductive,P07,7.535,98%,0.57%,47062280
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P07,7.5498,93%,0.56%,36529101
WI1_MI4_LPLc,WI02,Wild,Group1,MI4_LPL,Grp1_Fem2,Body,Body,Female,Adult,Reproductive,P08,7.9388,91%,0.20%,17047690
WI1_MI4_LPRc,WI03,Wild,Group1,MI4_LPR,Grp1_Fem3,Body,Body,Female,Adult,Reproductive,P08,8.0427,86%,0.49%,33030954
WI3_MI4_LRCc,WI17,Wild,Group1,MI4_LRC,Grp1_Fem4,Body,Body,Female,Adult,Reproductive,P08,8.1439,93%,0.00%,179480
WI3_MI4_LPGc,WI15,Wild,Group1,MI4_LPG,Grp1_Fem1,Body,Body,Female,Subadult,Non-reproductive,P10,9.193,86%,0.25%,29868328
WI1_MI4_LPLc,WI02,Wild,Group1,MI4_LPL,Grp1_Fem2,Body,Body,Female,Adult,Reproductive,P10,9.1814,79%,0.23%,19616067
WI1_MI4_LPRc,WI03,Wild,Group1,MI4_LPR,Grp1_Fem3,Body,Body,Female,Adult,Reproductive,P10,9.2019,61%,0.19%,13182420
WI1_T8_BlPYc,WI06,Wild,Group2,T8_BlPY,Grp2_Fem1,Body,Body,Female,Adult,Reproductive,P10,9.1863,92%,0.30%,19663007
WI1_T8_BlBRc,WI05,Wild,Group2,T8_BlBR,Grp2_Male1,Body,Body,Male,Adult,Reproductive,P10,9.1973,94%,0.36%,29256839
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P10,9.1976,89%,0.26%,16679196
WI1_MI4_LPLc,WI02,Wild,Group1,MI4_LPL,Grp1_Fem2,Body,Body,Female,Adult,Reproductive,P11,9.5506,95%,0.74%,63489243
WI1_MI4_LPRc,WI03,Wild,Group1,MI4_LPR,Grp1_Fem3,Body,Body,Female,Adult,Reproductive,P11,9.5902,86%,0.19%,13152474
WI3_MI4_LRCc,WI17,Wild,Group1,MI4_LRC,Grp1_Fem4,Body,Body,Female,Adult,Reproductive,P11,9.6241,99%,0.13%,23447188
WI1_MI4_LBYc,WI01,Wild,Group1,MI4_LBY,Grp1_Male1,Body,Body,Male,Adult,Reproductive,P11,9.5753,94%,0.58%,51661870
WI1_T8_BlPYc,WI06,Wild,Group2,T8_BlPY,Grp2_Fem1,Body,Body,Female,Adult,Reproductive,P11,9.5224,97%,2.60%,172257444
WI1_T8_BlBRc,WI05,Wild,Group2,T8_BlBR,Grp2_Male1,Body,Body,Male,Adult,Reproductive,P11,9.5591,97%,0.74%,60557709
WI3_MI4_LPGc,WI15,Wild,Group1,MI4_LPG,Grp1_Fem1,Body,Body,Female,Subadult,Non-reproductive,P13,11.1529,95%,0.20%,24051536
WI3_MI4_LRCc,WI17,Wild,Group1,MI4_LRC,Grp1_Fem4,Body,Body,Female,Adult,Reproductive,P13,11.1416,93%,0.22%,40587436
WI1_MI4_LPRc,WI03,Wild,Group1,MI4_LPR,Grp1_Fem3,Body,Body,Female,Adult,Reproductive,P15,11.7643,88%,0.14%,9331679
WI3_MI4_LRCc,WI17,Wild,Group1,MI4_LRC,Grp1_Fem4,Body,Body,Female,Adult,Reproductive,P15,11.7569,93%,0.59%,107679134
WI3_MI4_LPGc,WI15,Wild,Group1,MI4_LPG,Grp1_Fem1,Body,Body,Female,Subadult,Non-reproductive,P16,11.9404,95%,0.60%,71745055
WI1_MI4_LPLc,WI02,Wild,Group1,MI4_LPL,Grp1_Fem2,Body,Body,Female,Adult,Reproductive,P16,11.9345,93%,2.35%,200824058
WI1_MI4_LPRc,WI03,Wild,Group1,MI4_LPR,Grp1_Fem3,Body,Body,Female,Adult,Reproductive,P16,11.944,87%,0.11%,7363180
WI3_MI4_LRCc,WI17,Wild,Group1,MI4_LRC,Grp1_Fem4,Body,Body,Female,Adult,Reproductive,P16,11.9323,79%,0.18%,31857546
WI1_MI4_LBYc,WI01,Wild,Group1,MI4_LBY,Grp1_Male1,Body,Body,Male,Adult,Reproductive,P16,11.9337,94%,2.52%,222982593
WI1_T8_BlPYc,WI06,Wild,Group2,T8_BlPY,Grp2_Fem1,Body,Body,Female,Adult,Reproductive,P16,11.9348,95%,2.42%,160380233
WI1_T8_BlBRc,WI05,Wild,Group2,T8_BlBR,Grp2_Male1,Body,Body,Male,Adult,Reproductive,P16,11.9493,96%,1.81%,147643927
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P16,11.9443,94%,3.62%,236316229
WI3_MI4_LPGc,WI15,Wild,Group1,MI4_LPG,Grp1_Fem1,Body,Body,Female,Subadult,Non-reproductive,P18,12.1247,89%,0.34%,40298219
WI1_MI4_LPLc,WI02,Wild,Group1,MI4_LPL,Grp1_Fem2,Body,Body,Female,Adult,Reproductive,P18,12.1099,90%,0.40%,33884969
WI1_MI4_LPRc,WI03,Wild,Group1,MI4_LPR,Grp1_Fem3,Body,Body,Female,Adult,Reproductive,P18,12.1484,91%,0.57%,38304680
WI3_MI4_LRCc,WI17,Wild,Group1,MI4_LRC,Grp1_Fem4,Body,Body,Female,Adult,Reproductive,P18,12.1667,91%,0.30%,54784120
WI1_MI4_LPLc,WI02,Wild,Group1,MI4_LPL,Grp1_Fem2,Body,Body,Female,Adult,Reproductive,P20,13.0291,87%,0.20%,17082794
